# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.230e-07 2.962e-06 1.867e-06 1.075e-06
      13 5.910e-07 6.920e-07 6.419e-07 2.457e-08
      16 6.870e-07 8.330e-07 7.577e-07 3.437e-08
      20 8.340e-07 1.032e-06 9.352e-07 4.638e-08
      25 1.063e-06 1.323e-06 1.190e-06 6.074e-08
      32 1.453e-06 1.788e-06 1.623e-06 7.729e-08
      40 2.004e-06 2.456e-06 2.231e-06 1.029e-07
      50 2.833e-06 3.434e-06 3.125e-06 1.415e-07
      63 4.167e-06 5.824e-06 4.717e-06 3.995e-07
      79 6.038e-06 7.089e-06 6.577e-06 2.501e-07
     100 9.170e-06 1.079e-05 9.958e-06 3.790e-07
     126 1.363e-05 1.599e-05 1.482e-05 5.609e-07
     158 2.005e-05 2.320e-05 2.156e-05 7.391e-07
     200 2.969e-05 3.339e-05 3.153e-05 8.872e-07
     251 4.383e-05 4.832e-05 4.592e-05 1.059e-06
     316 6.527e-05 7.521e-05 6.778e-05 1.450e-06
     398 9.722e-05 1.034e-04 1.002e-04 1.473e-06
     501 1.463e-04 1.554e-04 1.503e-04 2.092e-06
     631 2.220e-04 2.325e-04 2.272e-04 2.464e-06
     794 3.391e-04 3.533e-04 3.459e-04 3.263e-06
    1000 5.243e-04 5.442e-04 5.333e-04 4.535e-06
    1259 8.155e-04 8.652e-04 8.299e-04 8.714e-06
    1585 1.286e-03 1.385e-03 1.313e-03 2.086e-05
    1995 2.063e-03 2.405e-03 2.143e-03 6.528e-05
    2512 3.350e-03 3.498e-03 3.408e-03 3.022e-05
    3162 5.644e-03 5.870e-03 5.753e-03 5.285e-05
    3981 9.870e-03 1.027e-02 1.007e-02 9.543e-05
    5012 1.760e-02 1.823e-02 1.792e-02 1.488e-04
    6310 3.116e-02 3.210e-02 3.162e-02 2.142e-04
    7943 5.418e-02 5.559e-02 5.485e-02 3.329e-04
   10000 9.256e-02 9.445e-02 9.350e-02 4.559e-04
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.240e-07 6.080e-07 5.639e-07 2.004e-08
      13 5.890e-07 6.900e-07 6.386e-07 2.402e-08
      16 6.700e-07 7.980e-07 7.339e-07 3.042e-08
      20 7.950e-07 9.690e-07 8.815e-07 4.136e-08
      25 9.830e-07 1.247e-06 1.104e-06 5.994e-08
      32 1.312e-06 1.633e-06 1.472e-06 7.586e-08
      40 1.766e-06 2.232e-06 2.007e-06 1.090e-07
      50 2.497e-06 3.096e-06 2.791e-06 1.431e-07
      63 3.581e-06 4.421e-06 3.991e-06 1.986e-07
      79 5.226e-06 6.276e-06 5.732e-06 2.511e-07
     100 7.829e-06 9.360e-06 8.575e-06 3.607e-07
     126 1.174e-05 1.379e-05 1.276e-05 4.773e-07
     158 1.752e-05 2.061e-05 1.898e-05 7.223e-07
     200 2.665e-05 3.053e-05 2.853e-05 9.393e-07
     251 3.997e-05 4.537e-05 4.259e-05 1.228e-06
     316 6.059e-05 6.763e-05 6.386e-05 1.651e-06
     398 9.148e-05 9.978e-05 9.560e-05 1.932e-06
     501 1.398e-04 1.516e-04 1.455e-04 2.735e-06
     631 2.143e-04 2.315e-04 2.224e-04 3.924e-06
     794 3.295e-04 3.517e-04 3.404e-04 5.169e-06
    1000 5.127e-04 5.433e-04 5.277e-04 7.074e-06
    1259 8.060e-04 8.504e-04 8.262e-04 9.998e-06
    1585 1.282e-03 1.345e-03 1.312e-03 1.516e-05
    1995 2.078e-03 2.196e-03 2.130e-03 2.609e-05
    2512 3.443e-03 3.635e-03 3.530e-03 4.639e-05
    3162 5.793e-03 6.045e-03 5.910e-03 6.093e-05
    3981 9.800e-03 1.022e-02 1.000e-02 1.006e-04
    5012 1.652e-02 1.717e-02 1.684e-02 1.518e-04
    6310 2.775e-02 2.878e-02 2.822e-02 2.394e-04
    7943 4.586e-02 4.725e-02 4.652e-02 3.200e-04
   10000 7.538e-02 7.744e-02 7.638e-02 4.897e-04
#------- --------- --------- --------- ---------


# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.900e-07 5.270e-07 5.084e-07 8.535e-09
      13 5.230e-07 5.650e-07 5.423e-07 1.019e-08
      16 5.540e-07 6.040e-07 5.761e-07 1.150e-08
      20 5.990e-07 6.560e-07 6.243e-07 1.340e-08
      25 6.640e-07 7.420e-07 6.944e-07 1.868e-08
      32 7.550e-07 8.450e-07 7.947e-07 2.068e-08
      40 8.790e-07 9.970e-07 9.322e-07 2.725e-08
      50 1.054e-06 1.199e-06 1.116e-06 3.303e-08
      63 1.312e-06 1.523e-06 1.409e-06 4.620e-08
      79 1.710e-06 2.058e-06 1.860e-06 8.092e-08
     100 2.303e-06 2.704e-06 2.483e-06 9.309e-08
     126 3.188e-06 3.742e-06 3.439e-06 1.287e-07
     158 4.518e-06 5.198e-06 4.841e-06 1.625e-07
     200 6.610e-06 7.511e-06 7.054e-06 2.142e-07
     251 9.769e-06 1.097e-05 1.033e-05 2.886e-07
     316 1.461e-05 1.629e-05 1.541e-05 4.043e-07
     398 2.217e-05 2.448e-05 2.326e-05 5.527e-07
     501 3.404e-05 3.746e-05 3.570e-05 7.900e-07
     631 5.276e-05 5.753e-05 5.512e-05 1.119e-06
     794 8.219e-05 8.889e-05 8.549e-05 1.538e-06
    1000 1.288e-04 1.381e-04 1.334e-04 2.223e-06
    1259 2.021e-04 2.159e-04 2.086e-04 3.122e-06
    1585 3.189e-04 3.382e-04 3.274e-04 4.344e-06
    1995 5.008e-04 5.331e-04 5.145e-04 6.897e-06
    2512 7.912e-04 8.289e-04 8.101e-04 8.842e-06
    3162 1.252e-03 1.306e-03 1.277e-03 1.255e-05
    3981 1.979e-03 2.066e-03 2.019e-03 1.958e-05
    5012 3.136e-03 3.265e-03 3.195e-03 2.954e-05
    6310 4.974e-03 5.143e-03 5.054e-03 3.923e-05
    7943 7.876e-03 8.115e-03 7.993e-03 5.400e-05
   10000 1.249e-02 1.281e-02 1.263e-02 7.453e-05
